Informe de términos de búsqueda
12 de junio de 2026 - 6 de agosto de 2026
Término de búsqueda,Tipo de concordancia,Añadido/excluido,Grupo de anuncios,Palabra clave,Clics,Impr.,Conversiones,Código de moneda,Coste/conv.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.)
alquiler de carro bogota aeropuerto,Concordancia de frase,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros monteria alquilatucarro,Concordancia amplia,Ninguno,Monteria,alquiler de carros en monteria,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
rentar carros barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,4,11,"0,00",COP,"0,00","36,36%","1016,00","4064,00","33,33%","100,00%"
renta carro,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,3,"0,00",COP,"0,00","33,33%","1593,00","1593,00","0,00%","50,00%"
alquiler de camioneta en barranquilla,Concordancia de frase (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de camioneta en bogota,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros en pereira,Concordancia exacta,Añadido,Pereira unica Airport,alquiler de carros en pereira,22,71,"0,00",COP,"0,00","30,99%","852,54","18755,79","20,00%","82,86%"
alquiler de carros en barranquilla económicos,Concordancia de frase,Ninguno,Barranquilla,alquiler de carros en barranquilla,19,51,"2,67",COP,"4686,78","37,25%","659,01","12521,17","40,91%","88,64%"
alquiler carro bucaramanga precios,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,1,3,"0,00",COP,"0,00","33,33%","432,00","432,00","0,00%","66,67%"
alquiler autos,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,1,1,"0,00",COP,"0,00","100,00%","340,00","340,00","100,00%","100,00%"
renta de carro cerca de mi,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros por un dia,Concordancia amplia,Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler camioneta,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta carros valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,2,6,"0,00",COP,"0,00","33,33%","491,00","982,00","20,00%","80,00%"
drive cali rent a car,Concordancia de frase (ligera variación),Ninguno,Cali,alquiler de carros en cali,1,1,"0,00",COP,"0,00","100,00%","1416,00","1416,00","0,00%","100,00%"
alquila tu carro com,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,9,19,"0,00",COP,"0,00","47,37%","429,11","3862,00","92,86%","100,00%"
alquiler auto en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de vehiculos valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,1,6,"0,00",COP,"0,00","16,67%","81,00","81,00","40,00%","100,00%"
rent a car ibague colombia,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,1,1,"0,00",COP,"0,00","100,00%","806,00","806,00","0,00%","100,00%"
quillami rent car,Concordancia de frase (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentar carro en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,3,29,"0,00",COP,"0,00","10,34%","1172,61","3517,82","7,69%","69,23%"
alquiler de carros medellin,Concordancia exacta (ligera variación),Añadido,Medellin,alquiler carros medellin,6,33,"4,64",COP,"1695,82","18,18%","1312,50","7875,00","13,33%","66,67%"
renta de vehiculo,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
carros de alquiler,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentar carro,Concordancia amplia,Ninguno,Cali,alquiler de vehículos en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros 7 puestos,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros en barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,8,30,"0,00",COP,"0,00","26,67%","480,49","3843,91","29,63%","88,89%"
alquiler camioneta 7 puestos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,2,8,"0,00",COP,"0,00","25,00%","340,00","680,00","12,50%","75,00%"
rento carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,5,"0,00",COP,"0,00","20,00%","1370,00","1370,00","40,00%","80,00%"
alquiler de carros aeropuerto cali,Concordancia de frase (ligera variación),Ninguno,Cali,alquiler de carros en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent a car,Concordancia amplia,Ninguno,Bogota,renta de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
carsfort,Concordancia amplia,Excluido,Medellin,alquiler carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
renta de carros en pereira colombia,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentar carro en armenia,Concordancia amplia,Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler de carro en medellín,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,4,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rent car pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,2,8,"0,00",COP,"0,00","25,00%","1166,00","2332,00","12,50%","87,50%"
alquiler de vehiculos,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,2,5,"0,00",COP,"0,00","40,00%","96,00","192,00","0,00%","100,00%"
alquiler vehiculos valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,3,5,"0,00",COP,"0,00","60,00%","641,58","1924,75","60,00%","80,00%"
renta de autos 24 horas,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
cuanto vale un alquiler de carro en colombia,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquilar camioneta,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,7,"0,00",COP,"0,00","14,29%","797,18","797,18","0,00%","71,43%"
alquiler de carros en medellin,Concordancia exacta (ligera variación),Añadido,Medellin,alquiler carros medellin,19,92,"1,00",COP,"26288,71","20,65%","1383,62","26288,71","12,94%","57,65%"
drivex rent a car medellin,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler de auto en bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","20,00%","80,00%"
renta de vehículos bogotá,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,3,"0,00",COP,"0,00","33,33%","1566,00","1566,00","33,33%","66,67%"
alquiler carro bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,29,101,"3,00",COP,"7636,51","28,71%","789,98","22909,54","19,10%","83,15%"
alquiler de vehiculos baratos,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler autos aeropuerto el dorado,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler vehiculos por dias,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rentar carro en cucuta,Concordancia exacta (ligera variación),Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,4,16,"0,00",COP,"0,00","25,00%","1057,00","4228,00","13,33%","80,00%"
alquiler de vehiculos en cali,Concordancia exacta (ligera variación),Ninguno,Cali,alquiler de vehículos en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,70,197,"3,34",COP,"14614,75","35,53%","696,32","48742,32","23,37%","84,24%"
alquiler carro hibrido bogota,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rent car bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,9,36,"0,00",COP,"0,00","25,00%","449,95","4049,52","31,25%","84,38%"
alquiler camioneta 7 pasajeros bogotá,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent car,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
carro en arriendo,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","434,00","434,00","0,00%","100,00%"
alquiler vehiculo por dias,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rent a car for a day,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de auto pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","66,67%"
que cuesta alquilar un carro,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
alquiler carros armenia,Concordancia exacta (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,11,29,"1,63",COP,"7333,20","37,93%","1087,36","11961,00","35,71%","85,71%"
quality renta car,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","597,00","597,00","0,00%","100,00%"
renta de carros en cali,Concordancia exacta (ligera variación),Ninguno,Cali,alquiler de carros en cali,1,2,"0,00",COP,"0,00","50,00%","230,00","230,00","0,00%","50,00%"
renta carros en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,3,11,"0,00",COP,"0,00","27,27%","1302,00","3906,00","36,36%","63,64%"
alquiler de carros en bogotá colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de autos en pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,0,3,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","66,67%"
alquilar carros,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
go rentacar,Concordancia amplia,Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carro,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquila tu carro,Concordancia amplia,Ninguno,Monteria,alquiler de carros en monteria,1,2,"0,00",COP,"0,00","50,00%","237,00","237,00","0,00%","100,00%"
rentar un carro en bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,1,3,"0,00",COP,"0,00","33,33%","315,00","315,00","66,67%","100,00%"
autos para arrendar,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","629,00","629,00","0,00%","100,00%"
alquiler de carro en bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de vehiculos valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,5,5,"1,00",COP,"1829,00","100,00%","365,80","1829,00","60,00%","100,00%"
alquiler vehiculo barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,5,25,"0,00",COP,"0,00","20,00%","731,00","3655,00","4,35%","91,30%"
alquiler carro en cartagena colombia,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","80,00%"
renta de vehiculos bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,22,68,"2,00",COP,"10917,37","32,35%","992,49","21834,74","14,52%","83,87%"
alquiler de carros en medellín precio,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
locadora keddy,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
cartagena carro,Concordancia amplia,Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de camionetas en bogota,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,3,7,"1,00",COP,"3781,00","42,86%","1260,33","3781,00","28,57%","57,14%"
alquiler de carro bogota por dias,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros bogotá precios,Concordancia de frase,Añadido,Bogota,alquiler de carros bogota,2,3,"0,00",COP,"0,00","66,67%","440,00","880,00","0,00%","100,00%"
alquiler de carros,Concordancia amplia,Ninguno,Manizales,alquiler de carros manizales,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","33,33%","100,00%"
alquiler vehículo entre particulares,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
autos alquiler,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
rentar carros,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquilar vehiculo bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros en bogota para viajar,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros por un dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,1,"0,00",COP,"0,00","100,00%","545,00","545,00","0,00%","100,00%"
car rental ibague colombia,Concordancia amplia,Ninguno,Ibague,alquiler de carros ibague,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
autorental del caribe,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,1,2,"0,00",COP,"0,00","50,00%","1113,00","1113,00","0,00%","50,00%"
alquiler de coches en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,2,6,"0,00",COP,"0,00","33,33%","1518,00","3036,00","0,00%","50,00%"
camioneta en alquiler,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
arrendaautos valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,1,1,"0,00",COP,"0,00","100,00%","241,00","241,00","100,00%","100,00%"
alquiler carro en medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,14,"0,00",COP,"0,00","0,00%",0,"0,00","14,29%","57,14%"
carros de alquiler medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros en neiva,Concordancia de frase (ligera variación),Ninguno,Neiva unica Airport,alquiler de carros en neiva,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
day tour rent a car,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,1,4,"0,00",COP,"0,00","25,00%","432,00","432,00","100,00%","100,00%"
rentar carro bogota colombia,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,1,2,"0,00",COP,"0,00","50,00%","364,00","364,00","0,00%","100,00%"
rentar carros colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
carros alquiler,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,3,12,"0,00",COP,"0,00","25,00%","511,33","1534,00","0,00%","75,00%"
arrendar un auto,Concordancia amplia,Ninguno,Cali,alquiler de carros en cali,1,1,"0,00",COP,"0,00","100,00%","382,00","382,00","0,00%","100,00%"
rento carro,Concordancia amplia,Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
arriendo auto por semana,Concordancia amplia,Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquileres de autos,Concordancia amplia,Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
renta autos bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,14,49,"0,00",COP,"0,00","28,57%","821,74","11504,40","22,50%","82,50%"
rentar carro por mes,Concordancia amplia,Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carro en monteria cordoba,Concordancia exacta (ligera variación),Ninguno,Monteria,alquiler de carros en monteria,3,17,"0,00",COP,"0,00","17,65%","676,00","2028,00","6,25%","87,50%"
rentar carros medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,3,4,"0,00",COP,"0,00","75,00%","1875,33","5626,00","25,00%","50,00%"
renta car cartagena,Concordancia exacta (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,12,52,"0,50",COP,"17773,56","23,08%","740,56","8886,78","21,28%","91,49%"
alquila autos,Concordancia amplia,Ninguno,Cucuta unica Airport,alquiler de carros en cucuta,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de autos en cartagena de indias,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,6,55,"0,00",COP,"0,00","10,91%","548,33","3290,00","0,00%","67,27%"
renta carros cali,Concordancia exacta (ligera variación),Ninguno,Cali,alquiler de carros en cali,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler carro aeropuerto montería,Concordancia de frase (ligera variación),Ninguno,Monteria,alquiler de carros en monteria,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
now rent car,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
renta de carro en barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,9,14,"2,81",COP,"2693,80","64,29%","839,85","7558,64","21,43%","100,00%"
rentar carro colombia,Concordancia amplia,Ninguno,Medellin,alquiler de carros en medellin,2,1,"0,00",COP,"0,00","200,00%","2340,00","4680,00","0,00%","100,00%"
alquiler de vehiculos medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler coches armenia,Concordancia exacta (ligera variación),Ninguno,Armenia unica Airport,alquiler de carros en armenia,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carros en manizales,Concordancia exacta (ligera variación),Ninguno,Manizales,alquiler de carros manizales,18,54,"0,00",COP,"0,00","33,33%","439,79","7916,14","40,91%","93,18%"
tattersall rental s a s,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de autos cali,Concordancia exacta (ligera variación),Ninguno,Cali,alquiler de carros en cali,0,5,"0,00",COP,"0,00","0,00%",0,"0,00","40,00%","100,00%"
rentar carro en medellin colombia,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler carros medellin,1,1,"0,00",COP,"0,00","100,00%","1215,45","1215,45","0,00%","100,00%"
como alquilar un carro en bogota,Concordancia exacta (ligera variación),Ninguno,Bogota,alquiler de carros bogota,5,13,"0,00",COP,"0,00","38,46%","720,00","3600,00","16,67%","100,00%"
costo alquiler carro,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
empresas de alquiler de carros,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de carros en barranquilla aeropuerto,Concordancia de frase,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
rent a car medellin,Concordancia exacta (ligera variación),Ninguno,Medellin,alquiler de carros medellin,24,107,"0,00",COP,"0,00","22,43%","1196,89","28725,45","12,24%","51,02%"
global car rental medellin,Concordancia de frase (ligera variación),Ninguno,Medellin,alquiler de carros medellin,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquila tu carro bogota,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,11,15,"0,00",COP,"0,00","73,33%","861,91","9481,00","75,00%","100,00%"
cuanto vale alquilar un carro en bucaramanga,Concordancia exacta (ligera variación),Ninguno,Bucaramanga unica Airport,alquiler de carros en bucaramanga,3,6,"0,00",COP,"0,00","50,00%","116,00","348,00","16,67%","83,33%"
renta carros exito bogota,Concordancia de frase (ligera variación),Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
carros rentables,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de vehículos en cartagena colombia,Concordancia de frase (ligera variación),Ninguno,Cartagena unica Airport,alquiler de carros en cartagena,1,1,"0,00",COP,"0,00","100,00%","196,00","196,00","0,00%","100,00%"
carros para alquilar en barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,1,1,"0,00",COP,"0,00","100,00%","1077,00","1077,00","100,00%","100,00%"
alquiler de carro por dias,Concordancia amplia,Ninguno,Bogota,renta de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
auto alquiler,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
alquiler de autos villavicencio,Concordancia exacta (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,12,17,"0,00",COP,"0,00","70,59%","532,08","6385,00","35,29%","94,12%"
rent a car cali aeropuerto,Concordancia de frase (ligera variación),Ninguno,Cali,alquiler de carros en cali,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
renta de carros en pereira,Concordancia exacta (ligera variación),Ninguno,Pereira unica Airport,alquiler de carros en pereira,2,16,"0,00",COP,"0,00","12,50%","478,50","957,00","0,00%","66,67%"
renta de carros por hora,Concordancia amplia,Ninguno,Neiva unica Airport,alquiler de carros en neiva,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","100,00%","100,00%"
muverang colombia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","0,00%"
alquiler de carro villavicencio,Concordancia exacta (ligera variación),Ninguno,Villavicencio,alquiler de carros en villavicencio,8,12,"0,33",COP,"19219,31","66,67%","791,87","6334,99","50,00%","100,00%"
alquiler de vehiculos en valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros en valledupar,1,4,"0,00",COP,"0,00","25,00%","104,00","104,00","66,67%","100,00%"
alquilar carro en cali,Concordancia exacta (ligera variación),Ninguno,Cali,alquiler de carros en cali,0,7,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","57,14%"
cuánto cuesta rentar un carro,Concordancia amplia,Ninguno,Barranquilla,alquiler de carros en barranquilla,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquiler de carro por dia barranquilla,Concordancia exacta (ligera variación),Ninguno,Barranquilla,alquiler de carros en barranquilla,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
camioneta alquiler por dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","50,00%"
alquilar carro por un dia,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,1,4,"0,00",COP,"0,00","25,00%","1743,00","1743,00","50,00%","100,00%"
alquiler coches ibague,Concordancia exacta (ligera variación),Ninguno,Ibague,alquiler de carros ibague,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
rent a car valledupar,Concordancia exacta (ligera variación),Ninguno,Valledupar unica Airport,alquiler de carros valledupar,0,2,"0,00",COP,"0,00","0,00%",0,"0,00","50,00%","100,00%"
alquiler de coche,Concordancia amplia,Ninguno,Bogota,alquiler de carros bogota,0,1,"0,00",COP,"0,00","0,00%",0,"0,00","0,00%","100,00%"
